분류,질문,답변
온스타 서비스,[온스타 서비스] 온스타 서비스란 무엇인가요?,"온스타 서비스란 휴대폰 앱으로 차량을 연결하여, 원격 시동, 차량 진단 정보 확인, 전기 자동차 충전 상태 확인 등의 기능을 제공함으로써, 어디서나 쉽고 간편하게 차량을 관리 할 수 있도록 도와주는 서비스 입니다."
온스타 서비스,[온스타 서비스] 온스타 서비스 가입 및 시작을 위해서는 무엇을 해야 하나요?,"온스타 서비스 가입 및 시작은 휴대폰 앱을 통해 간편하게 시작할 수 있습니다. 쉐보레 홈페이지에서 통합 계정 생성 후, 휴대폰에 마이쉐보레 앱을 설치하여 온스타 서비스를 시작 하실 수 있습니다.
  온스타 서비스 시작하기 (www.chevrolet.co.kr/onstar/onstar-start)
  셀프 시작에 어려움이 있다면, 쉐보레 고객센터(09:00-18:00,  080-3000-5000)를 통해 문의해주세요.

(참고)신차 구매 후 차량에 처음으로 온스타 서비스를 시작(Activation)한 경우, 휴대폰 앱 상에 차량 상태 정보가 제대로 나타나지 않을 수 있습니다. 이때 차내에서 시동을 켰다 끄면 업데이트된 상태 정보를 보실 수 있습니다."
온스타 서비스,[온스타 서비스] 온스타 서비스의 무상 이용 기간은 어떻게 되나요?,"온스타 서비스의 무상 이용 기간은 휴대폰 앱이나 웹사이트의 ‘나의 온스타 서비스’ 메뉴를 통해 확인하실 수 있습니다. (무상 이용 기간은 차량마다 다를 수 있으며, 서비스 정책에 따라 향후 변경될 수 있습니다)  

•  2년 무상 서비스 대상 차량 (차량 인도 시점부터 2년이 되는 날까지) : 2025 트랙스 크로스오버 (RS, ACTIV), 2025 트레일블레이저, 2026 트레일블레이저
•  5년 무상 서비스 대상 차량(차량 인도 시점부터 5년이 되는 날까지) : 2024 콜로라도"
온스타 서비스,[온스타 서비스] 온스타 서비스를 해지하고 싶습니다. 어떻게 하나요?,"온스타 서비스 해지는 아래 휴대폰 앱을 통해 고객센터에 요청 할 수 있습니다.
  휴대폰 앱 페이지 :
  로그인 후 나의 등록된 차량 리스트 중 온스타 서비스를 이용 중인 차량을 선택합니다.
차량 삭제를 선택하여 온스타 서비스 해지를 요청합니다.
해지 요청 후  완료까지 며칠이 소요될 수 있습니다. 
차량 매각 또는 양도시 고객센터에 연락하여 온스타 서비스 해지가 필요합니다.
  고객센터 : 080-3000-5000 (쉐보레)"
온스타 서비스,[온스타 서비스] 서비스를 실제로 이용하는 사용자와 차량 소유자가 다른 경우에도 온스타 서비스 이용이 가능한가요?,"차량 소유자가 아니더라도 온스타 서비스를 이용하실 수 있습니다. 차량 소유자가 아닌 실제 사용자가 온스타 서비스 가입을 원하시는 경우, 실제 사용자의 이메일로 통합계정을 생성한 후 휴대폰 앱을 설치하여 온스타 서비스 시작 절차를 진행 하실 수 있습니다. 온스타 시작 절차에 관한 자세한 내용은 홈페이지의 “온스타 서비스 시작하기”를 참고해 주세요."
온스타 서비스,[온스타 서비스] 차량 매각시 기존 사용자가 온스타 서비스를 해지해야 구매자가 서비스 이용 가능한가요?,기존 사용자가 온스타 서비스를 해지 하지 않더라도 중고차 구매자가 차량 내에서 온스타 시작 절차 (activation)를 수행하면 사용 가능합니다. (중고차 구매자가 온스타에 연결되면 기존 사용자의 연결은 자동으로 중단됩니다.) 다만 개인정보 보호를 위해 차량 처분 시 기존 사용자께서는 온스타 해지를 권장 드립니다. 온스타 서비스 해지는 고객센터로 문의하시면 처리 가능합니다.
온스타 서비스,[온스타 서비스] 렌터카 차량을 이용하려고 합니다. 온스타 서비스를 이용할 수 있나요?,"단기 렌탈(1달내)의 경우는 온스타 서비스를 이용하실 수 없으나 1달 이상의 장기 렌탈 차량의 경우는 이용 가능합니다. 다만 장기 렌탈 차량 이용을 중단하시는 경우, 반드시 온스타 고객센터로 연락하여 온스타 서비스 해지를 진행해 주셔야 합니다."
휴대폰 앱,[휴대폰 앱] 휴대폰 앱을 설치하려면 어떻게 해야 하나요?,"휴대폰 앱을 올바르게 설치하려면 아래 단계를 따라 주십시오. 먼저, 아이폰에는 iOS 14.0 이상, 그리고 안드로이드 폰에는 OS 10.0 이상의 버전이 필요합니다.
  휴대폰 기기가 앱과 호환되는지 확인합니다. (윈도우폰이나 블랙베리 폰은 호환되지 않습니다.)
앱스토어 또는 구글 플레이에서 최신 버전의 앱을 다운로드합니다.
앱을 실행 한 후, 고객님의 통합계정 이메일과 비밀번호로 로그인 합니다.
온스타 이용고객의 경우, 온스타 서비스 시작하기를 참고해 주세요."
휴대폰 앱,[휴대폰 앱] 휴대폰 앱에서 내 통합 계정 회원 정보에 접속할 수 있나요?,"네, 휴대폰 앱의 회원정보를 통해 등록된 통합 계정 및 회원 정보를 확인하실 수 있습니다."
휴대폰 앱,[휴대폰 앱] 휴대폰 앱에는 어떤 다른 기능이 있나요?,"온스타 서비스 고객의 경우 원격 제어 버튼을 통해, 원격 시동 및 문 열림, 경적 켜기 등의 제어가 가능합니다. 또한 휴대폰 앱 화면을 통해 유류량, 엔진 오일 상태, 타이어 공기압 등과 같은 차량 진단 정보를 확인하실 수 있습니다. 자세한 정보는 홈페이지의 온스타 서비스 관련 페이지를 확인하세요."
