분류,질문,답변
홈페이지,홈페이지에서 정비 이력을 확인할 수 있나요?,"홈페이지에서는 KGM 정비 전산(서비스 네트워크망)에 등록된 차량번호를 이용하여 고객님 및 차량 정보를 조회하고 있습니다.

이에 따라 차량 구매 후 한 번도 저희 서비스 네트워크에 방문하지 않으셨거나 차량번호 변경 또는 명의 변경된 상태라면, 저희 서비스 네트워크에 먼저 방문하셔서 자동차등록증 확인하여 차량번호, 소유자명, 생년월일(또는 사업자번호/법인번호) , [소유자 및 운행자의 이메일] 등 고객님 정보를 수정해 주셔야 하니 참고가 되셨으면 합니다.

★ 정비 전산의 이메일 수정 시 홈페이지 회원 가입 시 기재하신 이메일 주소로 수정 부탁드립니다.

※ 홈페이지 내차등록 방법

- 등록된 차량이 없는 경우 :
☞ PC : KGM 홈페이지(kg-mobility.com) 우측 상단 네모 안쪽으로 향하는 화살표 눌러 로그인 → (우측 상단 사람모양 또는 우측 슬라이드 메뉴의 이름 클릭) 마이페이지 → 화면 오른쪽 내차 등록하기 버튼 → 개인차량/법인차량 선택 → 띄어쓰기 없이 차량번호 입력 (이메일은 홈페이지 회원가입 시 등록한 이메일 자동으로 끌려옴) → 조회하기 누르기
☞ 모바일 : KGM 홈페이지(kg-mobility.com) 전체메뉴 (오른쪽 상단의 3줄 ) → 왼쪽 아래 로그인 → 회원명 터치 (바로 이름 안 보이면 전체메뉴 터치 후 이름 터치) → 내차 등록하기 터치 → 개인차량/법인차량 선택 → 띄어쓰기 없이 차량번호 입력 (이메일은 홈페이지 회원가입 시 등록한 이메일 자동으로 끌려옴) → 조회하기 누르기

- 이미 등록된 차량이 있는 경우 :
☞ PC : KGM 홈페이지(kg-mobility.com) 우측 상단 네모 안쪽으로 향하는 화살표 눌러 로그인 → (우측 상단 사람모양) 마이페이지 → 오른쪽 상단 [내 차 정보 >] 클릭 → 보유 차량 탭의 왼쪽 [+ 내차 추가하기] 클릭 → 개인차량/법인차량 선택 → 띄어쓰기 없이 차량번호 입력 (이메일은 홈페이지 회원가입 시 등록안 이메일 자동으로 끌려옴) → 조회하기 누르기
☞ 모바일 : KGM 홈페이지(kg-mobility.com/) 전체메뉴 (오른쪽 상단의 3줄 ) → 왼쪽 아래 로그인 → 회원명 터치 (바로 이름 안 보이면 전체메뉴 터치 후 이름 터치) → [내 차 정보 >] 클릭 → 보유 차량 탭의 왼쪽 [+ 내차 추가하기] 클릭 → 개인차량/법인차량 선택 → 띄어쓰기 없이 차량번호 입력 (이메일은 홈페이지 회원가입 시 등록안 이메일 자동으로 끌려옴) → 조회하기 누르기

※ 법인 차량의 경우, 띄어쓰기 없는 차량번호, 사업자/법인등록번호, 법인명 기재하고 조회하실 수 있습니다."
홈페이지,"주소나 개명한 이름, 비밀번호 등 회원 정보의 변경은 어떻게 하나요?","주소, 연락처, 비밀번호 등의 회원 정보는,
홈페이지에 로그인하신 후 화면 상단의 [ 마이페이지 → 회원정보 수정 ]에서 변경하실 수 있습니다.

그러나 이름은 고객님께서 직접 변경하실 수 없으니 고객센터(☎ 080-500-5582 / 4번 연결)로 연락해 주시기 바랍니다."
홈페이지,홈페이지에서 차량 세부모델(등급)을 확인할 수 있나요?,"네, KG모빌리티 홈페이지 → 고객 서비스 (모바일 이용 시에는 오른쪽 위 3줄 전체메뉴 내) → 차량 운영 지원 → 차량정보조회에서 확인 가능합니다.

※ 차량 세부 모델(차급/트림) 차대번호로 조회 바로 가기
☞ https://www.kg-mobility.com/sr/update-download/vehicle-info

해당 메뉴에서 차종과 [차대번호 맨 뒤 숫자 6자리]를 입력 → 조회하기 버튼을 눌러 주십시오.

* 차량정보를 조회할 수 없거나, 일부 차량정보가 실제와 다를 수 있으니 필요 시고객센터(☎ 080-500-5582 / ARS 4번)로 문의해 주시기 바랍니다."
홈페이지,회원 가입 및 탈퇴 방법이 궁금합니다.,"고객님의 소중한 회원 정보는 보다 정확하고 다양한 정보를 제공해 드리기 위해 활용됩니다.

[ 회원 가입 ]
☞ PC : 홈페이지(kg-mobility.com) → 화면 상단 왼쪽 로그인 클릭 → 아이디/비밀번호 입력 창 아래 [회원가입] 버튼 클릭 → 약관 [필수] 항목 동의 → 가입 시작 버튼 클릭 → 아이디(중복확인), 비밀번호, 이메일(중복확인) 입력 후 본인인증
☞ 모바일 : 홈페이지(kg-mobility.com) 오른쪽 상단의 3줄 전체메뉴 → 화면 맨 아래 왼쪽 로그인 → [회원가입] 버튼 터치 - 약관 [필수] 항목 동의 - 가입 시작 버튼 터치 - 아이디(중복확인), 비밀번호, 이메일(중복확인) 입력 후 본인인증

※ 로그인 화면 하단의 [카카오톡 계정으로 간편 로그인] 가능합니다.

[ 회원 탈퇴 ]
☞ PC : 홈페이지(kg-mobility.com) → 화면 상단 왼쪽 로그인 클릭 → 마이페이지 → 화면 오른쪽 위 [회원정보 수정] 클릭 → 재로그인 → 회원정보 수정 화면의 맨 아래 [ 회원 탈퇴＞ ] 클릭
☞ 모바일 : 홈페이지(kg-mobility.com) 오른쪽 상단의 3줄 전체메뉴 → 화면 맨 아래 왼쪽 로그인 → 오른쪽 슬라이드 메뉴의 회원명 터치 → 화면 맨 오른쪽 아이콘 중 연필모양 터치 → 비밀번호 확인 → 회원정보 수정 화면의 맨 아래로 이동해서 [ 회원 탈퇴＞ ] 터치

※ 탈퇴하신 아이디는 다시 사용하실 수 없습니다."
홈페이지,홈페이지에 등록된 차량 정보를 삭제하고 싶습니다.,"★ 홈페이지에 등록된 차량 정보 삭제하는 방법

☞ PC : 홈페이지(kg-mobility.com)에 로그인 후 → 화면 상단의 마이페이지 → 화면 오른쪽 내 차 정보＞ 클릭 → 상단의 보유 차량 탭에서 오른쪽 끝 보유 차량 삭제 글씨 클릭
☞ 모바일 : 홈페이지(kg-mobility.com) 오른쪽 상단의 3줄 전체메뉴 → 화면 맨 아래 왼쪽 로그인 → 오른쪽 슬라이드 메뉴의 회원명 터치 → 화면 오른쪽 내 차 정보＞ 터치 → 보유 차량 탭에서 오른쪽 끝 보유 차량 삭제 글씨 터치"
홈페이지,영문 취급설명서와 정비지침서를 받을 수 있을까요?,"저희 홈페이지 통해 영문 취급설명서와 정비지침서를 다운받으실 수 있습니다.

☞ KGM 홈페이지(kg-mobility.com) → 화면 오른쪽 상단의 GLOBAL 클릭 → 영문 홈페이지(en.kg-mobility.com) SUPPORT 클릭 → KGM OVERSEAS NETWORK 하단의 A/S MANUAL 바로가기 클릭 → 새 창에서 HOW TO USE NEW A/S MANUAL 표시되면 1~7단계 진행 → 새 창이 열리면 차종 클릭 → 해당 연식 클릭 → SERVICE MMANUAL (정비지침) / OWNER'S MANUAL (취급설명서)

※ 인터넷 익스플로러 8.0에 최적화되어 있으며, 인터넷 익스플로러 10 이상 버전도 호환됩니다. (일부 메뉴의 경우 크롬 등의 다른 브라우저에서는 사용이 어렵습니다)

국내에서는 파일이 아닌 책자를 구매하실 수 없으며, 혹시라도 해외 네트워크가 있다면 구매 가능한지 문의해 보시는 것도 방법입니다.

☞ KGM 홈페이지(kg-mobility.com) → 화면 오른쪽 상단의 GLOBAL 클릭 → GLOBAL NERWORK → 하단의 지도에서 지역 클릭 → 국가명 입력 후 돋보기 눌러 조회 (해당 국가의 해외 법인명, 연락처 등 표시됩니다)"
홈페이지,리멤버서비스 내 부품정보 관련 EPC 시스템은 어떻게 사용하나요?,"2019.08.28일부터 홈페이지 통해 보다 개선된 부품 정보 시스템인 EPC 2.0을 통해 부품 정보를 제공해 드리고 있습니다.

이번 EPC 2.0 시스템은 크롬 또는 인터넷 익스플로러 11 이상에서 원활하게 작동합니다. (모바일에서는 원활하게 작동하지 않습니다)

① KGM 홈페이지(kg-mobility.com) → 고객 서비스 → 서비스 네트워크 → 순정부품 조회 → 화면 아래 [EPC 시스템 바로가기＞] 버튼 누르기

② 새 창이 열리면 양산모델인지 단종모델인지 선택 → 차종 선택 → 대그룹 선택 → 화면 오른쪽이나 아래의 그룹 정보가 표시되는 글씨를 더블클릭
예) 양산모델 → [차종 : G4 렉스턴] → [대그룹 4 : 샤시] → 화면 오른쪽과 아래에 [4010 프레임] 글씨를 더블클릭 (4010은 그룹번호이고, 프레임은 그룹명칭이며, 화면 왼쪽 상단에 대그룹 이미지입니다)

③ 새 창에서 그룹 정보인 이미지와 부품 리스트 표시 → 이미지에서 원하는 부품 또는 하단의 부품리스트에서 적용품번 등을 클릭 → 화면 오른쪽 상단의 차량정보에서 품번과 품명, 가격 등을 확인하실 수 있습니다.

그리고 부품에 대해 전문적으로 상담하고 있는 부품상담실(☎ 080-500-5582 / 2번 연결)이 운영 중이니, 사양이나 호환성, 재고 여부 등 자세한 사항은 부품상담실로 문의해 주시기 바랍니다."
홈페이지,토레스 하이브리드 차량인데 갑자기 도어 잠금이 해제되지 않아요,"토레스 하이브리드 차량에는 저전압 배터리의 완전 방전을 방지하기 위한 [ 저전압 배터리 방전 보호 모드 ]가 적용되어 있습니다.

이러한 [ 저전압 배터리 방전 보호 모드 ] 작동 시, 전원을 차단하여 전기 장치가 작동하지 않기 때문에, 도어 잠금이 해제되지 않습니다.

이때는 테일게이트 아웃사이드 핸들의 열림 스위치를 눌러 방전 보호모드를 해제 후 도어 잠금해제 및 시동을 걸 수 있습니다.

※ 저전압 배터리 방전 보호 모드 해제 방법

1. 테일게이트 아웃사이드 핸들의 내측 열림 스위치를 5 ~ 10초(최대) 정도 눌러줍니다.
2. 테일게이트 잠금 해제 되면서 방전 보호 모드 해제되니, 바로 스마트키 도어 잠금 해제 버튼을 눌러 도어도 열어줍니다.
3. 배터리 방전 보호 모드 해제 후 1분 이내 시동을 걸어주면 됩니다."
홈페이지,홈페이지 말고도 KG모빌리티 관련 소식을 알 수 있는 공식 채널이 있나요?,"KG모빌리티 공식 블로그가 운영되고 있으며, 다양한 정보 컨텐츠를 확인하실 수 있습니다.
공식 블로그http://allways.kg-mobility.com/
그리고 KG모빌리티 홈페이지 하단의 #브랜드소식에서 유튜브, 인스타그램, 페이스북의 공식 SNS 채널을 확인하실 수 있습니다.
- 유투브 :https://youtube.com/@KGmobility.official/
- 페이스북 : https://www.facebook.com/KGmobility.official
- 인스타그램 :https://www.instagram.com/kgmobility.official/"
구매/영업,KGM 직접 출고를 위한 출고센터는 어디에 있나요?,"KGM 평택공장 후문에 위치하고 있습니다.

- . 주소 : 경기도 평택시 동삭로455-12
- . 전화 : 031-610-1382 / 1385"
